cumPop_phi009,L_phi009,cumPop_phi014,L_phi014
0.223725551498626,0.0201115900552753,0.241363097183839,0.025619835931034
0.225412624566936,0.0206129966559983,0.243270029941554,0.0262312386513153
0.22709997855621,0.0211206779835463,0.245176061293867,0.0268498969757929
0.228787612598171,0.0216346358350006,0.2470812074027,0.0274758090782277
0.230475525270712,0.0221548718271877,0.248985483006695,0.0281089728510679
0.232163714621202,0.0226813873958183,0.250888901490093,0.0287493859060851
0.233852178188684,0.0232141837947075,0.252791474947726,0.0293970455750571
0.235540913025055,0.023753262095074,0.254693214246413,0.030051948910494
0.237229915715261,0.0242986231849114,0.256594129082977,0.0307140926864041
0.238919182396574,0.0248502677684307,0.258494228039115,0.0313834733990995
0.240608708777002,0.0254081963655671,0.260393518633323,0.0320600872680381
0.242298490152863,0.0259724093115507,0.262292007370063,0.0327439302366994
