a,c_informal,c_formal,sflow_informal,sflow_formal
2.85535622317597,0.56422816675463,0.610978588494011,-0.212597421198334,0.206477114888347
2.86265092989986,0.564517239822875,0.611248687407088,-0.212842454506165,0.206252953151202
2.86994563662375,0.56480602775559,0.611518732782324,-0.213087174164911,0.206028850305681
2.87724034334764,0.565094532042598,0.611788727398842,-0.213331581813382,0.20580480329475
2.88453505007153,0.565382754169363,0.612058674059037,-0.213575679085584,0.205580809035774
2.89182975679542,0.56567069561748,0.612328575589002,-0.213819467611274,0.205356864420052
2.89912446351931,0.56595835786441,0.612598434839001,-0.214062949015657,0.205132966312292
2.9064191702432,0.566245742383889,0.612868254683985,-0.214306124919846,0.204909111550049
2.9137138769671,0.566532850645823,0.613138038023966,-0.214548996940735,0.204685296943308
2.92100858369099,0.56681968411649,0.613407787784646,-0.214791566691229,0.2044615192738
2.92830329041488,0.567106244258712,0.613677506917709,-0.215033835780435,0.204237775294669
2.93559799713877,0.567392532531801,0.613947198401579,-0.215275805813594,0.20401406172965
2.94289270386266,0.567678550391832,0.614216865241637,-0.215517478392389,0.203790375272826
2.95018741058655,0.567964299291635,0.614486510470951,-0.215758855114933,0.20356671258782
2.95748211731044,0.568249780681006,0.614756137150757,-0.215999937576003,0.203343070307271
2.96477682403433,0.56853499600668,0.615025748370928,-0.216240727367005,0.203119445032322
2.97207153075823,0.568819946712624,0.615295347250539,-0.216481226076304,0.202895833331989
2.97936623748212,0.569104634239942,0.61556493693841,-0.216721435289115,0.20267223174257
2.98666094420601,0.569389060027198,0.615834520613731,-0.216961356587857,0.202448636766956
2.9939556509299,0.56967322551033,0.616104101486599,-0.217200991552064,0.20222504487404
3.00125035765379,0.56995713212291,0.616373682798452,-0.217440341758663,0.202001452498241
3.00854506437768,0.570240781296128,0.616643267822947,-0.217679408781964,0.201777856038535
3.01583977110157,0.570524174459042,0.616912859866202,-0.217918194193931,0.201554251858193
3.02313447782547,0.570807313038553,0.61718246226777,-0.218156699564153,0.201330636283708
3.03042918454936,0.571090198459654,0.617452078400972,-0.218394926460125,0.201107005604424
3.03772389127325,0.571372832145387,0.617721711673662,-0.218632876447193,0.200883356071704
3.04501859799714,0.571655215517117,0.61799136552879,-0.218870551088858,0.200659683898302
3.05231330472103,0.571937349994462,0.618261043445165,-0.219107951946698,0.200435985257529
3.05960801144492,0.572219236995631,0.618530748937979,-0.219345080580745,0.200212256282673
3.06690271816881,0.57250087793734,0.618800485559631,-0.219581938549386,0.199988493066094
3.0741974248927,0.572782274235013,0.619070256900173,-0.219818527409588,0.199764691658737
3.0814921316166,0.573063427302886,0.619340066588384,-0.220054848717009,0.199540848068944
3.08878683834049,0.573344338554146,0.619609918292062,-0.220290904026156,0.199316958262136
3.09608154506438,0.573625009400981,0.619879815718987,-0.220526694890435,0.199093018159758
3.10337625178827,0.573905441254802,0.620149762617697,-0.220762222862399,0.198869023638416
3.11067095851216,0.574185635526254,0.620419762778062,-0.220997489493757,0.198644970529253
3.11796566523605,0.574465593625355,0.620689820032164,-0.22123249633553,0.19842085461698
3.12526037195994,0.574745316961666,0.620959938254986,-0.221467244938234,0.198196671639115
3.13255507868383,0.575024806944392,0.621230121365378,-0.221701736851993,0.197972417284922
3.13984978540773,0.575304064982452,0.621500373326608,-0.22193597362662,0.197748087194808
3.14714449213162,0.575583092484642,0.621770698147391,-0.22216995681179,0.197523676959186
3.15443919885551,0.575861890859807,0.622041099882653,-0.222403687957232,0.197299182117637
3.1617339055794,0.576140461516812,0.622311582634334,-0.222637168612699,0.197074598158027
3.16902861230329,0.576418805864825,0.622582150552296,-0.222870400328274,0.196849920515508
3.17632331902718,0.576696925313329,0.622852807835231,-0.22310338465439,0.196625144571518
3.18361802575107,0.576974821272338,0.623123558731527,-0.223336123142061,0.196400265652831
3.19091273247496,0.577252495152421,0.623394407540185,-0.223568617342913,0.196175279030546
3.19820743919886,0.57752994836494,0.623665358611788,-0.223800868809445,0.195950179919022
3.20550214592275,0.57780718232205,0.62393641634935,-0.224032879095027,0.195724963474942
3.21279685264664,0.578084198436935,0.624207585209454,-0.224264649754163,0.195499624796067
3.22009155937053,0.578360998123895,0.624478869703091,-0.224496182342579,0.195274158920305
3.22738626609442,0.578637582798477,0.624750274396762,-0.224727478417381,0.195048560824506
3.23468097281831,0.578913953877572,0.625021803913426,-0.224958539537146,0.194822825423414
