t,shareI,Tl,Tc,Tr,G,rB,Gap,B
18,0.4504,0.08244,0.064676878837239,0.0222948,0.07,-0.0723032981416502,-0.127125376978889,-2.78275103377593
19,0.4596,0.08106,0.0645840365686004,0.0227502,0.07,-0.0756791851997988,-0.128573021768399,-2.90987641075482
20,0.4534,0.08199,0.0646466041844221,0.0224433,0.07,-0.0791364635661373,-0.133329767750559,-3.03844943252322
21,0.4548,0.08178,0.0646324760131075,0.0225126,0.07,-0.0826331118138627,-0.13653298782697,-3.17177920027378
22,0.457,0.08145,0.0646102746010418,0.0226215,0.07,-0.086259123650268,-0.13969789825131,-3.30831218810075
23,0.4486,0.08271,0.0646950436289291,0.0222057,0.07,-0.0899722496706072,-0.145171593299536,-3.44801008635206
24,0.455,0.08175,0.0646304577029197,0.0225225,0.07,-0.0937714480126299,-0.14762940571555,-3.5931816796516
25,0.4608,0.08088,0.0645719267074737,0.0228096,0.07,-0.0977195079582434,-0.150361834665717,-3.74081108536715
26,0.4584,0.08124,0.0645961464297272,0.0226908,0.07,-0.101734410118184,-0.154879756547911,-3.89117292003287
27,0.4498,0.08253,0.0646829337678023,0.0222651,0.07,-0.105823622913195,-0.160771456680998,-4.04605267658078
28,0.4536,0.08196,0.0646445858742343,0.0224532,0.07,-0.110035704280598,-0.164187090154833,-4.20682413326177
29,0.4556,0.08166,0.0646244027723563,0.0225522,0.07,-0.114408015240984,-0.16814021801334,-4.37101122341661
30,0.4494,0.08259,0.0646869703881779,0.0222453,0.07,-0.118873217140984,-0.173904887529162,-4.53915144142995
31,0.447,0.08295,0.0647111901104315,0.0221265,0.07,-0.123445927579007,-0.178980617689438,-4.71305632895911
32,0.4492,0.08262,0.0646889886983657,0.0222354,0.07,-0.128175412908714,-0.183249001607079,-4.89203694664855
33,0.4526,0.08211,0.0646546774251732,0.0224037,0.07,-0.133042936862128,-0.187403914287301,-5.07528594825563
34,0.457,0.08145,0.0646102746010418,0.0226215,0.07,-0.138026542999355,-0.191465317600397,-5.26268986254293
35,0.4522,0.08217,0.0646587140455488,0.0223839,0.07,-0.143123145377496,-0.197567959423045,-5.45415518014333
36,0.4394,0.08409,0.0647878858975676,0.0217503,0.07,-0.148330200933004,-0.205457786830572,-5.65172313956637
37,0.443,0.08355,0.0647515563141873,0.0219285,0.07,-0.153703222812879,-0.210076279127066,-5.85718092639694
38,0.4558,0.08163,0.0646223844621685,0.0225621,0.07,-0.159290814987517,-0.212981099449685,-6.06725720552401
39,0.4648,0.08028,0.0645315605037178,0.0230076,0.07,-0.165004010829032,-0.21680797133275,-6.28023830497369
40,0.4646,0.08031,0.0645335788139056,0.0229977,0.07,-0.170796205629671,-0.222642084443577,-6.49704627630644
41,0.442,0.0837,0.0647616478651263,0.021879,0.07,-0.176692475334051,-0.233275123199177,-6.71968836075002
42,0.447,0.08295,0.0647111901104315,0.0221265,0.07,-0.182747408505349,-0.238282098615781,-6.9529634839492
43,0.4476,0.08286,0.0647051351798681,0.0221562,0.07,-0.189091515842591,-0.244500451022459,-7.19124558256498
44,0.4434,0.08349,0.0647475196938117,0.0219483,0.07,-0.195571791962181,-0.251861011655992,-7.43574603358744
45,0.447,0.08295,0.0647111901104315,0.0221265,0.07,-0.202221181249894,-0.257755871360325,-7.68760704524343
46,0.438,0.0843,0.0648020140688822,0.021681,0.07,-0.209070746990549,-0.266491761059431,-7.94536291660375
47,0.4512,0.08232,0.0646688055964878,0.0223344,0.07,-0.216080628251304,-0.270735033847792,-8.21185467766318
48,0.4708,0.07938,0.064471011198084,0.0233046,0.07,-0.223328089161262,-0.273874500359346,-8.48258971151098
49,0.4594,0.08109,0.0645860548787882,0.0227403,0.07,-0.230690949337381,-0.283626704216169,-8.75646421187032
50,0.4638,0.08043,0.0645416520546568,0.0229581,0.07,-0.238139189867211,-0.290152741921868,-9.04009091608649
51,0.4568,0.08148,0.0646122929112296,0.0226116,0.07,-0.245852649539116,-0.299333342450346,-9.33024365800836
52,0.4528,0.08208,0.0646526591149854,0.0224136,0.07,-0.253743590131936,-0.308062649246922,-9.6295770004587
53,0.4524,0.08214,0.064656695735361,0.0223938,0.07,-0.261884204647866,-0.316287100383227,-9.93763964970563
54,0.4522,0.08217,0.0646587140455488,0.0223839,0.07,-0.270262219785592,-0.324707033831141,-10.2539267500889
55,0.4464,0.08304,0.0647172450409948,0.0220968,0.07,-0.278863905583452,-0.334524350624447,-10.57863378392
56,0.451,0.08235,0.0646708239066756,0.0223245,0.07,-0.287694578342431,-0.342390902249106,-10.9131581345444
57,0.4418,0.08373,0.0647636661753141,0.0218691,0.07,-0.296792241042927,-0.353416807218241,-11.2555490367935
58,0.45,0.0825,0.0646809154576145,0.022275,0.07,-0.306103841034276,-0.361009756491891,-11.6089658440118
59,0.456,0.0816,0.0646203661519807,0.022572,0.07,-0.315715299508841,-0.369363665660822,-11.9699756005037
60,0.4606,0.08091,0.0645739450176615,0.0227997,0.07,-0.325533254435054,-0.378217499452716,-12.3393392661645
61,0.4548,0.08178,0.0646324760131075,0.0225126,0.07,-0.33557840073824,-0.389478276751348,-12.7175567656172
62,0.454,0.0819,0.0646405492538587,0.022473,0.07,-0.34586433427648,-0.399931883530339,-13.1070350423686
63,0.4528,0.08208,0.0646526591149854,0.0224136,0.07,-0.356456513842601,-0.410775572957586,-13.5069669258989
64,0.459,0.08115,0.0645900914991638,0.0227205,0.07,-0.367332987775638,-0.420352579274802,-13.9177424988565
65,0.4608,0.08088,0.0645719267074737,0.0228096,0.07,-0.378504364691535,-0.431146691399008,-14.3380950781313
66,0.4496,0.08256,0.0646849520779901,0.0222552,0.07,-0.389936196109448,-0.444925948187438,-14.7692417695303
67,0.4508,0.08238,0.0646728422168634,0.0223146,0.07,-0.401661582215007,-0.45639982443187,-15.2141677177177
68,0.4528,0.08208,0.0646526591149854,0.0224136,0.07,-0.413761706453353,-0.468080765568338,-15.6705675421496
69,0.4444,0.08334,0.0647374281428728,0.0219978,0.07,-0.426173872119308,-0.482253500262181,-16.1386483077179
70,0.4462,0.08307,0.0647192633511826,0.0220869,0.07,-0.438903710511585,-0.494606073862768,-16.6209018079801
71,0.4514,0.08229,0.0646667872863,0.0223443,0.07,-0.45201898798938,-0.50663147527568,-17.1155078818429
72,0.4442,0.08337,0.0647394464530606,0.0219879,0.07,-0.465470203786438,-0.521591750239498,-17.6221393571186
